"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"212","280","Shri  Gurudas  Das Gupta                                         ","15","8","West Bengal                                                 ","Ghatal","26","26"
"213","283","Shri  Shailendra  Kumar                                             ","15","8","Uttar Pradesh                                               ","Kaushambi ","26","25"
"214","284","Shri  Bhisma  Shankar Alias Kushal Tiwari                       ","15","8","Uttar Pradesh                                               ","Sant Kabir Nagar","26","24"
"215","285","Dr.  M.  Thambidurai                                       ","15","8","Tamil Nadu                                                  ","Karur","26","26"
"216","286","Shri  Akhilesh  Yadav                                             ","15","8","Uttar Pradesh                                               ","Kannauj","26","16"
"217","287","Shri  Ashok Kumar  Rawat                                             ","15","8","Uttar Pradesh                                               ","Misrikh","26","26"
"218","288","Dr.  Shafiqur Rahman  Barq                                              ","15","8","Uttar Pradesh                                               ","Sambhal","26","26"
"219","289","Shri  Baju Ban  Riyan                                             ","15","8","Tripura                                                     ","Tripura East","26","24"
"220","290","Shri  S.  Semmalai                                          ","15","8","Tamil Nadu                                                  ","Salem","26","25"
"221","291","Shri  Kalyan  Singh                                             ","15","8","Uttar Pradesh                                               ","Etah","26","20"
"222","292","Shri  Brij Bhushan Sharan  Singh                                             ","15","8","Uttar Pradesh                                               ","Kaiserganj","26","25"
"223","293","Shri  Tufani  Saroj                                             ","15","8","Uttar Pradesh                                               ","Machhlishahr","26","26"
"224","294","Shri  Jagdish Singh  Rana                                              ","15","8","Uttar Pradesh                                               ","Saharanpur","26","25"
"225","295","Shri  Vijay Bahadur  Singh                                             ","15","8","Uttar Pradesh                                               ","Hamirpur","26","25"
"226","296","Dr.  Ram Chandra  Dome                                              ","15","8","West Bengal                                                 ","Bolpur","26","19"
"227","297","Shri  Khagen  Das                                               ","15","8","Tripura                                                     ","Tripura West","26","24"
"228","298","Shri  O. S.  Manian                                            ","15","8","Tamil Nadu                                                  ","Mayiladuthurai","26","17"
"229","299","Shri  R.K. Singh  Patel                                             ","15","8","Uttar Pradesh                                               ","Banda","26","25"
"230","300","Smt.  Sushila  Saroj                                             ","15","8","Uttar Pradesh                                               ","Mohanlalganj","26","24"
"231","301","Smt.  Seema  Upadhyay                                          ","15","8","Uttar Pradesh                                               ","Fatehpur Sikri","26","26"
"232","302","  Smt. Tabassum  Hasan  ","15","8","Uttar Pradesh                                               ","Kairana","26","22"
"233","303","Shri  Prabodh  Panda                                             ","15","8","West Bengal                                                 ","Medinipur","26","22"
"234","304","Shri  Bansagopal  Chowdhury                                         ","15","8","West Bengal                                                 ","Asansol","26","21"
"235","305","Shri  P.  Venugopal                                         ","15","8","Tamil Nadu                                                  ","Tiruvallur","26","26"
"236","306","Shri  C.  Rajendran                                         ","15","8","Tamil Nadu                                                  ","Chennai South","26","22"
"237","307","Shri  Madhu  Koda                                              ","15","8","Jharkhand                                                   ","Singhbhum","26","25"
"238","309","Shri  S.K. Nurul  Islam                                             ","15","8","West Bengal                                                 ","Basirhat","26","5"
"239","310","Shri    Ramkishun                                         ","15","8","Uttar Pradesh                                               ","Chandauli","26","26"
"240","311","Shri  Rakesh  Sachan                                            ","15","8","Uttar Pradesh                                               ","Fatehpur","26","25"
"241","312","Smt.  Raj Kumari  Chauhan                                           ","15","8","Uttar Pradesh                                               ","Aligarh","26","21"
"242","313","Smt.  Kaisar  Jahan                                             ","15","8","Uttar Pradesh                                               ","Sitapur","26","10"
"243","314","Shri  P.R.  Natarajan                                         ","15","8","Tamil Nadu                                                  ","Coimbatore","26","25"
"244","315","Adv.  A.  Sampath                                           ","15","8","Kerala                                                      ","Attingal","26","23"
"245","316","Shri  Manohar  Tirkey                                            ","15","8","West Bengal                                                 ","Alipurduars","26","14"
"246","317","Shri  M.  Anandan                                           ","15","8","Tamil Nadu                                                  ","Viluppuram","26","26"
"247","318","Shri  Dinesh  Trivedi                                           ","15","8","West Bengal                                                 ","Barrackpur","26","4"
"248","320","Shri  Premdas  Katheria                                          ","15","8","Uttar Pradesh                                               ","Etawah","26","26"
"249","321","Shri  Dharmendra  Yadav                                             ","15","8","Uttar Pradesh                                               ","Badaun","26","21"
"250","322","Shri  Neeraj  Shekhar                                           ","15","8","Uttar Pradesh                                               ","Ballia","26","26"
"251","323","Shri    Gorakhnath  Pandey                                ","15","8","Uttar Pradesh                                               ","Bhadohi ","26","26"
"252","324","Shri  Dhananjay  Singh                                             ","15","8","Uttar Pradesh                                               ","Jaunpur","26","19"
"253","325","Smt.  Susmita  Bauri                                             ","15","8","West Bengal                                                 ","Bishnupur","26","25"
"254","326","Dr.  Anup Kumar  Saha                                              ","15","8","West Bengal                                                 ","Bardhaman Purba","26","21"
"255","327","Shri  Pulin Bihari  Baske                                             ","15","8","West Bengal                                                 ","Jhargram","26","24"
"256","328","Shri  K.  Sugumar                                           ","15","8","Tamil Nadu                                                  ","Pollachi","26","22"
