Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
46,2012,"The Pre-conception and Pre-natal Diagnostic Techniques (Prohibition of Sex Selection) Amendment Bill, 2012 (Insertion of new section 16B, etc.).",HEALTH AND FAMILY WELFARE,Arjun Ram Meghwal Shri,27/04/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/83LS.pdf
48,2012,"The Establishment of Permanent Benches of High Courts at State Capitals Bill, 2012.",HOME AFFAIRS,Shashi Tharoor Dr.,27/04/2012,Ordinary Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/151LS.pdf
49,2012,"The Food Safety and Standards (Amendment) Bill, 2012 (Insertion of new sections 59A and 59B).",HEALTH AND FAMILY WELFARE,Chauhan Mahendrasinh Shri,09/08/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/79LS.pdf
53,2012,"The Economically Weaker Class Corporation Bill, 2012.",SOCIAL JUSTICE AND EMPOWERMENT,Suresh Kodikunnil Shri,27/04/2012,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/81LS.pdf
55,2012,"The Compulsory Voting Bill, 2012.",LAW AND JUSTICE,Chandrakant Bhaurao Khaire Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/82LS.pdf
64,2012,"The National Highways (Amendment) Bill, 2012 (Substitution of new section for section 5).",ROAD TRANSPORT AND HIGHWAYS,Chauhan Mahendrasinh Shri,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1577LS.pdf
65,2012,"The Glorification of Alcoholic Beverages in Motion Pictures (Prohibition) Bill, 2012.",INFORMATION AND BROADCASTING,Chauhan Mahendrasinh Shri,09/08/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1486LS.pdf
66,2012,"The Poverty Stricken and Backward Regions (Development) Bill, 2012.",PLANNING,Chauhan Mahendrasinh Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1578LS.pdf
67,2012,"The Petrol Pump Workers (Welfare) Bill, 2012.",PETROLEUM AND NATURAL GAS,Adhir Ranjan Chowdhury Shri,09/08/2012,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1402LS.pdf
68,2012,"The Prohibition of Human Trafficking of Indian Citizens Abroad and Welfare of Overseas Indians Bill, 2012.",OVERSEAS INDIAN AFFAIRS,Patel Jayshreeben Kanubhai,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1504ls.pdf
69,2012,"The High Court of Kerala (Establishment of a Permanent Bench at Thiruvananthapuram) Bill, 2012.",LAW AND JUSTICE,Anirudhan Sampath Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1403LS.pdf
70,2012,"The Central Universities (Amendment) Bill, 2012 (Amendment of section 3).",HUMAN RESOURCE DEVELOPMENT,Ranjan Prasad Yadav Shri,09/08/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1503ls.pdf
71,2012,"The Constitution (Amendment) Bill, 2012 (Amendment of article 25).",HOME AFFAIRS,Rattan Singh Ajnala Dr.,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1485ls.pdf
72,2012,"The HIV/AIDS Bill, 2012.",HEALTH AND FAMILY WELFARE,Solanki Kiritbhai Premajibhai Dr.,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1579LS.pdf
73,2012,"The Lakshadweep Fishermen (Welfare) Bill, 2012.",AGRICULTURE,Hamdulla A. B. Sayeed Muhammed,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1747ls.pdf
74,2012,"The Climate Change Bill, 2012.",ENVIRONMENT AND FORESTS,Kalikesh Narayan Singh Deo Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1748LS.pdf
75,2012,"The Pre-conception and Pre-natal Diagnostic Techniques (Prohibition of Sex Selection) Amendment Bill, 2012 (Amendment of section 2, etc.).",WOMEN AND CHILD DEVELOPMENT,Baijayant Panda Shri,09/08/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1904LS.pdf
76,2012,"The Constitution (Amendment) Bill, 2012 (Insertion of new article 31).",PLANNING,Bhola Singh Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1938LS.pdf
