Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
42,2010,"The Voluntary Organisations (Regulation) Bill, 2010",PLANNING,Pradeep Tamta Shri,30/04/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1324ls.pdf
44,2010,"The Eradication of Unemployment Bill, 2010",LABOUR AND EMPLOYMENT,N.S.V. Chitthan Shri,30/04/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1355ls.pdf
45,2010,"The Victims of Natural Calamities (Rehabilitation and Financial Assistance) Bill, 2010",HOME AFFAIRS,N.S.V. Chitthan Shri,30/04/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1371ls.pdf
46,2010,"The High Court at Allahabad (Establishment of a Permanent Bench at Gorakhpur) Bill, 2010",LAW AND JUSTICE,Yogi Adityanath Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1389LS.pdf
47,2010,"The Agricultural and Processed Food Products Export Development Authority (Amendment) Bill, 2010 (Amendment of section 4, etc.)",COMMERCE AND INDUSTRY,Rajendra Agarwal Shri,30/04/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1527LS.pdf
50,2010,"The Central Universities (Conditions of Service of Non-Teaching Staff) Bill, 2010",HUMAN RESOURCE DEVELOPMENT,Jagdambika Pal Shri,30/04/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1675LS.pdf
60,2010,"The Banking Laws (Amendment) Bill, 2010.",FINANCE,Asaduddin Owaisi Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1840ls E.pdf
61,2010,"The Constitution (Amendment) Bill, 2010 (Amendment of article 51A).",LAW AND JUSTICE,Saroj Pandey,11/03/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2600LS.pdf
62,2010,"The Constitution (Amendment) Bill, 2010 (Amendment of articles 84 and 173).",LAW AND JUSTICE,Saroj Pandey,11/03/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2617LS.pdf
63,2010,"The Constitution (Amendment) Bill, 2010 (Amendment of the Eighth Schedule)",HOME AFFAIRS,Jai Prakash Agarwal Shri,13/08/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2658LS.pdf
64,2010,"The Constitution (Amendment) Bill, 2010 (Substitution of new article for article 48A)",ENVIRONMENT AND FORESTS,Jai Prakash Agarwal Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2618ls.pdf
65,2010,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2010 (Amendment of the Schedule)",SOCIAL JUSTICE AND EMPOWERMENT,Raghuvansh Prasad Singh Dr.,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2657ls.pdf
66,2010,"The Constitution (Amendment) Bill, 2010 (Amendment of article 117, etc.)",LAW AND JUSTICE,Anandrao Vithoba Adsul Shri,13/08/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2636LS.pdf
67,2010,"The Palliative Care (Education and Training) Bill, 2010",HEALTH AND FAMILY WELFARE,Om Prakash Yadav Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2756ls.pdf
68,2010,"The Constitution (Amendment) Bill, 2010 (Insertion of new article 45A)",WOMEN AND CHILD DEVELOPMENT,Om Prakash Yadav Shri,13/08/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2701ls.pdf
69,2010,"The Constitution (Amendment) Bill, 2010 (Insertion of new article 279A)",FINANCE,Om Prakash Yadav Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2768LS.pdf
70,2010,"The Consumer Protection (Amendment) Bill, 2010 (Amendment of section 2, etc.)","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Anandrao Vithoba Adsul Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2751LS.pdf
71,2010,"The Cinematograph (Amendment) Bill, 2010 (Amendment of section 2, etc.)",INFORMATION AND BROADCASTING,Anandrao Vithoba Adsul Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2651ls.pdf
72,2010,"The Representation of the People (Amendment) Bill, 2010 (Insertion of new section 29AA)",LAW AND JUSTICE,Jai Prakash Agarwal Shri,13/08/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2963LS.pdf
76,2010,"The Constitution (Amendment) Bill, 2010 (Amendment of the Eighth Schedule)",HOME AFFAIRS,Satpal Maharaj Shri,13/08/2010,Ordinary Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3059LS.pdf
78,2010,"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2010 (Amendment of section 6)",RURAL DEVELOPMENT,Hansraj Gangaram Ahir Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3099LS.pdf
79,2010,"The Displaced Farmers (Rehabilitation and Other Facilities) Bill, 2010",RURAL DEVELOPMENT,Hansraj Gangaram Ahir Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3265LS.pdf
80,2010,"The Anganwadi Workers (Regularisation of Service and Other Benefits) Bill, 2010",WOMEN AND CHILD DEVELOPMENT,Hansraj Gangaram Ahir Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3128LS.pdf
81,2010,"The Economically Weaker Class (Provision of Certain Facilities) Bill, 2010",SOCIAL JUSTICE AND EMPOWERMENT,Satpal Maharaj Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3006LS.pdf
82,2010,"The High Court at Calcutta (Establishment of a Permanent Bench at Murshidabad) Bill, 2010",LAW AND JUSTICE,Adhir Ranjan Chowdhury Shri,13/08/2010,Ordinary Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3266LS.pdf
83,2010,"The Special Financial Assistance to the State of West Bengal Bill, 2010",FINANCE,Adhir Ranjan Chowdhury Shri,13/08/2010,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3267LS.pdf
86,2010,"The Girls (Free and Compulsory) Education Bill, 2010.",HUMAN RESOURCE DEVELOPMENT,Supriya Sule,02/09/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3263LS.pdf
87,2010,"The Representation of the People (Amendment) Bill, 2010 (Insertion of new section 32A, etc.)",LAW AND JUSTICE,Maneka Gandhi Smt.,13/08/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3345LS.pdf
91,2010,"The Commission for the Formation of the State of Vidarbha Bill, 2010",HOME AFFAIRS,Hansraj Gangaram Ahir Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3129LS.pdf
92,2010,"The Central Bureau of Investigation Bill, 2010","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Manish Tewari Shri,13/08/2010,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3498ls.pdf
98,2010,"The Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest (Amendment) Bill, 2010 (Amendment of section 14).",FINANCE,P. T. Thomas Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3812ls.pdf
99,2010,"The Commissions of Inquiry (Amendment) Bill, 2010 (Amendment of section 3).",HOME AFFAIRS,Solanki Kiritbhai Premajibhai Dr.,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3924ls.pdf
100,2010,"The Commission of Sati (Prevention) Amendment Bill, 2010 (Amendment of section 2, etc.) .",WOMEN AND CHILD DEVELOPMENT,Rajagopal Lagadapati Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3668ls.pdf
101,2010,"Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2010 (Amendment of section 2).",TRIBAL AFFAIRS,Rajagopal Lagadapati Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3589ls.pdf
104,2010,"The Agricultural Workers Welfare Bill, 2010.",LABOUR AND EMPLOYMENT,A.T. Nana Patil Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3966ls.pdf
105,2010,"The Railways (Amendment) Bill, 2010 (Insertion of new chapter XIIIA).",RAILWAYS,A.T. Nana Patil Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3965LS.pdf
106,2010,"The Cow (Protection) Bill, 2010.",AGRICULTURE,Chandrakant Bhaurao Khaire Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3967LS.pdf
112,2010,"The Post-Polio Syndrome (Education, Training and Awareness) Bill, 2010.",HEALTH AND FAMILY WELFARE,Balkrishna Khanderao Balu Shukla Shukla Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4657ls.pdf
113,2010,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2010 (Amendment of the Schedule).",SOCIAL JUSTICE AND EMPOWERMENT,P. T. Thomas Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4476ls.pdf
114,2010,"The Representation of the People (Amendment) Bill, 2010 (Insertion of new section 29AA).",LAW AND JUSTICE,Jai Prakash Agarwal Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4656LS.pdf
115,2010,"The Provision of Social Security to Senior Citizens Bill, 2010.",SOCIAL JUSTICE AND EMPOWERMENT,Jai Prakash Agarwal Shri,25/02/2011,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4562ls.pdf
116,2010,"The Constitution (Amendment) Bill, 2010 (Amendment of article 19).",LAW AND JUSTICE,Jai Prakash Agarwal Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4483ls.pdf
117,2010,"The Indian Penal Code (Amendment) Bill, 2010 (Amendment of section 304A, etc.) .",HOME AFFAIRS,Adhir Ranjan Chowdhury Shri,25/02/2011,Ordinary Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4549ls.pdf
119,2010,"The Treatment of Attempt to Suicide as a Non-Punishable Offence Bill, 2010.",HOME AFFAIRS,Adhir Ranjan Chowdhury Shri,25/02/2011,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4542LS.pdf
120,2010,"The Technical Educational Institutions, Medical Educational Institutions and Universities (Regulation of Fee) Bill, 2010.",HUMAN RESOURCE DEVELOPMENT,P. T. Thomas Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4744LS.pdf
122,2010,"The Commission for Fixation of Prices of Essential Commodities Bill, 2010.","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Raghuvansh Prasad Singh Dr.,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4775ls.pdf
125,2010,"The Closed Textile Mills Workers (Welfare and Rehabilitation) Bill, 2010.",TEXTILES,Solanki Kiritbhai Premajibhai Dr.,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4950LS.pdf
126,2010,"The Coffee Growers Welfare Bill, 2010.",COMMERCE AND INDUSTRY,Adhir Ranjan Chowdhury Shri,25/02/2011,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4949LS.pdf
127,2010,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2010 (Amendment of the Schedule).",TRIBAL AFFAIRS,Hansraj Gangaram Ahir Shri,11/03/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4947LS.pdf
128,2010,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2010 (Amendment of the Schedule) .",SOCIAL JUSTICE AND EMPOWERMENT,Hansraj Gangaram Ahir Shri,11/03/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4946LS.pdf
129,2010,"The Constitution (Amendment) Bill, 2010 (Insertion of new article 30A).",RURAL DEVELOPMENT,P.L. Punia Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4948ls.pdf
131,2010,"The Sculptors, Artists and Artisans of Rural Areas Welfare Bill, 2010.",RURAL DEVELOPMENT,Hansraj Gangaram Ahir Shri,11/03/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5166ls.pdf
132,2010,"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2010 (Amendment of section 2, etc.).",RURAL DEVELOPMENT,Hansraj Gangaram Ahir Shri,11/03/2011,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5144LS.pdf
133,2010,"The Banana Growers (Protection and Welfare) Bill, 2010.",AGRICULTURE,A.T. Nana Patil Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4974LS.pdf
137,2010,"The National Flood Control and Rehabilitation Authority Bill, 2010.",WATER RESOURCES,A.T. Nana Patil Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5212LS.pdf
140,2010,"The Constitution (Amendment) Bill, 2010 (Insertion of new Part IIIA, etc.).",LAW AND JUSTICE,Manish Tewari Shri,25/02/2011,Ordinary Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5332LS.pdf
141,2010,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2010 (Amendment of section3, etc.).",HOME AFFAIRS,P.L. Punia Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5333LS.pdf
142,2010,"The Renewable Energy Resources Commission Bill, 2010.",NON-CONVENTIONAL ENERGY SOURCES,P.L. Punia Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5255LS.pdf
143,2010,"The Empowerment of Women Bill, 2010.",WOMEN AND CHILD DEVELOPMENT,Saroj Pandey,11/03/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5556LS.pdf
145,2010,"The Eradication of Unemployment Amongst the Youth Belonging to the Scheduled Castes and the Scheduled Tribes Bill, 2010.",LABOUR AND EMPLOYMENT,Solanki Kiritbhai Premajibhai Dr.,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5555LS.pdf
147,2010,"The Mircro Finance Institutions (Regulation of Money Lending) Bill, 2010.",FINANCE,P.L. Punia Shri,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5685LS.pdf
1,2009,"The Prevention of Cruelty to Animals (Amendment) Bill, 2009 (Amendment of section 11, etc.)",ENVIRONMENT AND FORESTS,Francisco Sardinha Shri,13/02/2009,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/186ls-05.pdf
20,2009,"The Prevention of Cruelty to Animals (Amendment) Bill, 2009 (Amendment of section 11, etc.)",ENVIRONMENT AND FORESTS,Francisco Sardinha Shri,03/07/2009,Ordinary Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2191ls-01.pdf
21,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of the Eighth Schedule)",HOME AFFAIRS,Arjun Ram Meghwal Shri,03/07/2009,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2240ls-06.pdf
22,2009,"The Ban on Cow Slaughter Bill, 2009",AGRICULTURE,Yogi Adityanath Shri,17/07/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2238ls-1.pdf
23,2009,"The Constitution (Amendment) Bill, 2009 (Omission of article 44, etc.)",LAW AND JUSTICE,Yogi Adityanath Shri,17/07/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2239ls-2.pdf
24,2009,"The Underdeveloped and Backward Areas and Regions (Special Provisions for Accelerated Development) Bill, 2009",PLANNING,Baijayant Panda Shri,03/07/2009,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2261LS-02.pdf
25,2009,"The Citizens Affected by Cyclone, Super Cyclone or Tsunami in Coastal Areas (Compensation, Rehabilitation and Welfare) Bill, 2009",HOME AFFAIRS,Baijayant Panda Shri,03/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2280ls-04.pdf
26,2009,"The Prevention of Unsolicited Telephonic Calls and Protection of Privacy Bill, 2009",COMMUNICATIONS AND INFORMATION TECHNOLOGY,Baijayant Panda Shri,03/07/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2281ls-05.pdf
27,2009,"The Persons Affected by Naxalite Terrorism (Relief and Rehabilitation) Bill, 2009",HOME AFFAIRS,Baijayant Panda Shri,03/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2294ls-03.pdf
28,2009,"The Prevention of Female Infanticide Bill, 2009",HEALTH AND FAMILY WELFARE,Adhir Ranjan Chowdhury Shri,17/07/2009,Ordinary Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2295ls-8.pdf
29,2009,"The Free and Compulsory Education Bill, 2009",HUMAN RESOURCE DEVELOPMENT,Jai Prakash Agarwal Shri,17/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2318ls-5.pdf
30,2009,"The Agricultural Workers (Employment, Conditions of Service and Welfare) Bill, 2009",LABOUR AND EMPLOYMENT,Adhir Ranjan Chowdhury Shri,17/07/2009,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2319ls-7.pdf
31,2009,"The Compulsory Voting Bill, 2009",LAW AND JUSTICE,Jai Prakash Agarwal Shri,17/07/2009,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2344ls-4.pdf
32,2009,"The Destitute Women and Widows Welfare Bill, 2009",WOMEN AND CHILD DEVELOPMENT,Jai Prakash Agarwal Shri,17/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2363ls-6.pdf
34,2009,"The Consumer Goods (Mandatory Printing of Cost of Production and Maximum Retail Price) Bill, 2009","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Hansraj Gangaram Ahir Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2387ls-11.pdf
35,2009,"The Freedom Fighters and their Families (Welfare) Bill, 2009",HOME AFFAIRS,Jai Prakash Agarwal Shri,17/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2413ls-3.pdf
36,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of article 130)",SOCIAL JUSTICE AND EMPOWERMENT,Hansraj Gangaram Ahir Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2457ls-6.pdf
40,2009,"The Old Age Pension and Rehabilitation Bill, 2009",SOCIAL JUSTICE AND EMPOWERMENT,Adhir Ranjan Chowdhury Shri,31/07/2009,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2503ls-1.pdf
41,2009,"The Special Irrigation Development Fund (For Forest Areas) Bill, 2009",WATER RESOURCES,Hansraj Gangaram Ahir Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2458ls.pdf
42,2009,"The Payment of Subsistence Allowance to Farmers and Agricultural Labourers Bill, 2009",AGRICULTURE,Hansraj Gangaram Ahir Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2495ls-7.pdf
43,2009,"The Council for Environment Protection Bill, 2009",ENVIRONMENT AND FORESTS,K.C. Singh Baba Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2504ls-8.pdf
44,2009,The Constitution (Andaman and Nicobar Islands) Scheduled Tribes Order (Amendment) Bill 2009 (Amendment of the Schedule),TRIBAL AFFAIRS,Basudeb Acharia Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2583LS-3.pdf
45,2009,"The High Court of Andhra Pradesh (Establishment of a Permanent Bench at Vijayawada) Bill, 2009",LAW AND JUSTICE,Rajagopal Lagadapati Shri,31/07/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2632ls-13.pdf
46,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of article 51A)",LAW AND JUSTICE,K.C. Singh Baba Shri,31/07/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2629ls-10.pdf
47,2009,"The Constitution (Amendment) Bill, 2009 (Insertion of new article 21B)",SOCIAL JUSTICE AND EMPOWERMENT,Basudeb Acharia Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2635ls-2.pdf
48,2009,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2009 (Amendment of the Schedule)",SOCIAL JUSTICE AND EMPOWERMENT,Basudeb Acharia Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2634ls-4.pdf
49,2009,"The Constitution (Scheduled Castes) Orders (Amendment) Bill, 2009",SOCIAL JUSTICE AND EMPOWERMENT,Rajagopal Lagadapati Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2631ls-16.pdf
50,2009,"The Central Himalayan States Development Council Bill, 2009",PLANNING,K.C. Singh Baba Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2637ls-9.pdf
51,2009,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2009 (Amendment of the Schedule)",TRIBAL AFFAIRS,Basudeb Acharia Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2633ls-5.pdf
52,2009,"The Compulsory Voting Bill, 2009",LAW AND JUSTICE,Supriya Sule,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2710LS.pdf
53,2009,"The Agricultural Land Acquisition Regulatory Authority Bill, 2009",RURAL DEVELOPMENT,Hansraj Gangaram Ahir Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2681LS-12.pdf
54,2009,"The Disruption of Proceedings of Parliament (Disentitlement of Daily Allowance to Members and Termination of Membership) Bill, 2009",PARLIAMENTARY AFFAIRS,Rajagopal Lagadapati Shri,31/07/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2682ls-15.pdf
55,2009,"The Constitution(Amendment) Bill, 2009 (Insertion of new article 21B)",URBAN DEVELOPMENT,Rajagopal Lagadapati Shri,31/07/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2803ls-14.pdf
56,2009,"The High Court at Allahabad (Establishment of a Permanent Bench at Agra) Bill, 2009",LAW AND JUSTICE,Ramshankar Dr.,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2794LS.pdf
71,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of article 275)",FINANCE,Baijayant Panda Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4083lsE.pdf
72,2009,"The Illegal Immigrants and Overstaying Foreign Nationals (Identification and Deportation) Bill, 2009",HOME AFFAIRS,Baijayant Panda Shri,04/12/2009,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4154LS.pdf
73,2009,"The Promotion of Two Child Norm Bill, 2009",HEALTH AND FAMILY WELFARE,Baijayant Panda Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4200ls.pdf
74,2009,"The Constitution (Amendment) Bill, 2009 (Insertion of new article 16A)",SOCIAL JUSTICE AND EMPOWERMENT,Basudeb Acharia Shri,04/12/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4202ls.pdf
75,2009,"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2009 (Amendment of sections 2 and 6)",TRIBAL AFFAIRS,Anant Kumar Hegde Shri,04/12/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3875ls.pdf
76,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of the Seventh Schedule)",AGRICULTURE,Anant Kumar Hegde Shri,04/12/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3825ls.pdf
77,2009,"The Basic and Primary Education (Compulsory Teaching in Mother Tongue) Bill, 2009",HUMAN RESOURCE DEVELOPMENT,Om Prakash Yadav Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3815LS.pdf
78,2009,"The Provision of Communication Facilities in Every Village Bill, 2009",COMMUNICATIONS AND INFORMATION TECHNOLOGY,Om Prakash Yadav Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4004ls.pdf
80,2009,"The Special Financial Assistance to the State of Bihar Bill, 2009",FINANCE,Om Prakash Yadav Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3994ls.pdf
81,2009,"The Youth Welfare Bill, 2009",YOUTH AFFAIRS AND SPORTS,Jai Prakash Agarwal Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3911ls.pdf
82,2009,"The Eradication of Unemployment Bill, 2009",LABOUR AND EMPLOYMENT,Jai Prakash Agarwal Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3941LS.pdf
