Bill No,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Passing in Lok Sabha,Date of Passing in Rajya Sabha,Date of Assent,Act No,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
138,2010,"THE APPROPRIATION (RAILWAYS) No. 5 BILL, 2010",RAILWAYS,02/12/2010,02/12/2010,03/12/2010,11/12/2010,46,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Rail No. 5 (138 of 2010) Eng.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appro. (Rail) No. 5, 138.pdf",NA
139,2010,"THE APPROPRIATION (RAILWAYS) No. 6 BILL, 2010",RAILWAYS,02/12/2010,02/12/2010,03/12/2010,11/12/2010,47,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Rail No. 6 (139 of 2010) Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appro. (Rail) No. 6.pdf,NA
139,2010,"THE APPROPRIATION (RAILWAYS) No. 6 BILL, 2010",RAILWAYS,02/12/2010,02/12/2010,03/12/2010,11/12/2010,47,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Rail No. 6 (139 of 2010) Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appro. (Rail) No. 6.pdf,NA
144,2010,"The Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Bill, 2012",WOMEN AND CHILD DEVELOPMENT,07/12/2010,03/09/2012,27/02/2013,22/04/2013,14,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/sexual harassment bill.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/144F_2010_LS_Eng.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda Protection of Women, 2.12.10.doc"
144,2010,"The Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Bill, 2012",WOMEN AND CHILD DEVELOPMENT,07/12/2010,03/09/2012,27/02/2013,22/04/2013,14,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/sexual harassment bill.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/144F_2010_LS_Eng.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda Protection of Women, 2.12.10.doc"
146,2010,"The Forward Contracts (Regulation) Amendment Bill, 2010","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",06/12/2010,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Forward Contracts.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda (Forward Contrat) 3.12.2010.doc
3,2009,"The Central Universities Bill, 2009.",HUMAN RESOURCE DEVELOPMENT,17/02/2009,19/02/2009,24/02/2009,20/03/2009,3,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Centr Univ. 3 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/central univ bill 09.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda Central Universities.doc
4,2009,"The National Capital Territory of Delhi Laws (Special Provisions) Bill, 2009.",URBAN DEVELOPMENT,17/02/2009,19/02/2009,24/02/2009,16/03/2009,24,Ordinary Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/NCT 4 of 2009 (Final).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Nct.pdf,NA
5,2009,"The National Commission for Minority Educational Institutions (Amendment) Bill, 2009.",HUMAN RESOURCE DEVELOPMENT,17/02/2009,25/02/2009,NA,NA,NA,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Minority Edu Ins 5 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum minority education.DOC
6,2009,"The Finance Bill, 2009.",FINANCE,16/02/2009,24/02/2009,25/02/2009,20/03/2009,26,Money Bill,Assented,NA,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/6f of 2009.pdf,NA
7,2009,"THE STATE BANK OF INDIA (SUBSIDIARY BANKS LAWS) AMENDMENT BILL, 2009",FINANCE,24/02/2009,NA,NA,NA,NA,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/SBI 7 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr SBI subsidiary banks.doc
9,2009,"The Appropriation (Railways) Vote on Account Bill, 2009.",RAILWAYS,19/02/2009,19/02/2009,20/02/2009,03/03/2009,15,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appro Rly VOA - 9 of 09.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/9f of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corr appr Rail VoA .DOC
10,2009,"The Appropriation (Railways) Bill, 2009.",RAILWAYS,19/02/2009,19/02/2009,20/02/2009,02/03/2009,13,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appro Rly - 10 of 09.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/9f of 2009.pdf,NA
11,2009,"The Appropriation (Railways) No. 2 Bill, 2009.",RAILWAYS,19/02/2009,19/02/2009,20/02/2009,02/03/2009,14,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appro Rly No.2 - 11 of 09.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/11-F of 2009.pdf,NA
12,2009,"The Jharkhand Appropriation (Vote on Account) Bill, 2009.",FINANCE,19/02/2009,19/02/2009,26/02/2009,06/03/2009,18,Money Bill,Assented,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Jharkhand Vote on Account, 12 of 2009.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/12-F of 2009.pdf,NA
13,2009,"The Jharkhand Appropriation Bill, 2009.",FINANCE,19/02/2009,19/02/2009,26/02/2009,06/03/2009,19,Money Bill,Assented,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Jharkhand Appro, 13 of 2009.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/13f of 2009.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda Jharkhand Appro, 09.doc"
14,2009,"THE INDIAN TRUSTS (AMENDMENT) BILL, 2009",FINANCE,24/02/2009,NA,NA,NA,NA,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Indian Trust 14 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corr Indian Trust.DOC
15,2009,"THE APPROPRIATION BILL, 2009",FINANCE,24/02/2009,25/02/2009,24/02/2009,03/03/2009,17,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appr 15 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/15f of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda Appro. Bill (19.2.09).doc
16,2009,"THE APPROPRIATION (VOTE ON ACCOUNT) BILL, 2009",FINANCE,24/02/2009,24/02/2009,25/02/2009,03/03/2009,16,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appr. VoA 16 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/16-F of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda Appro. VOA Bill.doc
17,2009,"The Metro Railways (Amendment) Bill, 2009",URBAN DEVELOPMENT,20/02/2009,24/02/2009,NA,NA,NA,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Metro 17 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda Metro Rail.doc
18,2009,"THE PAYMENT OF GRATUITY (AMENDMENT) BILL, 2009",LABOUR AND EMPLOYMENT,24/02/2009,NA,NA,NA,NA,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Payment of Gratuity 18 of 2009.pdf,NA,NA
33,2009,"The Finance (No.2) Bill, 2009",FINANCE,06/07/2009,27/07/2009,29/07/2009,19/08/2009,33,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Finance Bill - 33 of 2009.doc,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Fin No.2 (33-F).pdf,NA
33,2009,"The Finance (No.2) Bill, 2009",FINANCE,06/07/2009,27/07/2009,29/07/2009,19/08/2009,33,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Finance Bill - 33 of 2009.doc,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Fin No.2 (33-F).pdf,NA
37,2009,"The Appropriation (Railways) No. 3 Bill, 2009",RAILWAYS,09/07/2009,09/07/2009,10/07/2009,15/07/2009,29,Money Bill,Assented,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Rail 3, 37 of 09.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Rail No. 3 (37-F).pdf,NA
37,2009,"The Appropriation (Railways) No. 3 Bill, 2009",RAILWAYS,09/07/2009,09/07/2009,10/07/2009,15/07/2009,29,Money Bill,Passed,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Rail 3, 37 of 09.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Rail No. 3 (37-F).pdf,NA
38,2009,"The Appropriation (No. 2) Bill, 2009",FINANCE,14/07/2009,14/07/2009,15/07/2009,20/07/2009,30,Money Bill,Assented,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appr 2, 38 of 09.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appr no.2 38-F.pdf,NA
38,2009,"The Appropriation (No. 2) Bill, 2009",FINANCE,14/07/2009,14/07/2009,15/07/2009,20/07/2009,30,Money Bill,Passed,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appr 2, 38 of 09.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appr no.2 38-F.pdf,NA
39,2009,"The Jharkhand Appropriation (No. 2) Bill, 2009",FINANCE,14/07/2009,14/07/2009,17/07/2009,22/07/2009,31,Money Bill,Assented,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Jharkhand 2, 39 of 09.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Jharkhand No.2 39-F.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda Jharkhand Appro. No. 2 Bill, 09.doc"
39,2009,"The Jharkhand Appropriation (No. 2) Bill, 2009",FINANCE,14/07/2009,14/07/2009,17/07/2009,22/07/2009,31,Money Bill,Passed,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Jharkhand 2, 39 of 09.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Jharkhand No.2 39-F.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda Jharkhand Appro. No. 2 Bill, 09.doc"
57,2009,"The Appropriation (No. 3) Bill, 2009",FINANCE,23/07/2009,23/07/2009,27/07/2009,29/07/2009,32,Money Bill,Assented,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appr 3, 57 of 2009.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appr no.3 57-F.pdf,NA
57,2009,"The Appropriation (No. 3) Bill, 2009",FINANCE,23/07/2009,23/07/2009,27/07/2009,29/07/2009,32,Money Bill,Passed,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appr 3, 57 of 2009.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appr no.3 57-F.pdf,NA
58,2009,"The Rubber (Amendment) Bill, 2009",COMMERCE AND INDUSTRY,28/07/2009,24/11/2009,18/12/2009,21/01/2010,4,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/rubber 58 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/5705rs.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda rubber(amdt.) Bill (23.7.09).doc
58,2009,"The Rubber (Amendment) Bill, 2009",COMMERCE AND INDUSTRY,28/07/2009,24/11/2009,18/12/2009,21/01/2010,4,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/rubber 58 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/5705rs.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda rubber(amdt.) Bill (23.7.09).doc
59,2009,"The Companies Bill, 2009",CORPORATE AFFAIRS,03/08/2009,NA,NA,NA,NA,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Companies 59 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/The Companies Bill.doc
60,2009,"The Life Insurance Corporation (Amendment) Bill, 2011.",FINANCE,31/07/2009,12/12/2011,14/12/2011,12/01/2012,8,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/LIC 60 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/lic.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/No Errata.doc
61,2009,"The Indian Trusts (Amendment) Bill, 2009.",FINANCE,03/08/2009,NA,NA,NA,NA,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Indian Trust 61 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/No Errata.doc
62,2009,"The Securities and Exchange Board of India (Amendment) Bill, 2009.",FINANCE,03/08/2009,NA,NA,NA,NA,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/SEBI 62 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/No Errata.doc
63,2009,"The National Green Tribunal Bill, 2010",ENVIRONMENT AND FORESTS,31/07/2009,30/04/2010,05/05/2010,02/06/2010,19,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Green Tribunal 63 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda GT.doc
63,2009,"The National Green Tribunal Bill, 2010",ENVIRONMENT AND FORESTS,31/07/2009,30/04/2010,05/05/2010,02/06/2010,19,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Green Tribunal 63 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda GT.doc
64,2009,"The Metro Railways (Amendment) Bill, 2009",URBAN DEVELOPMENT,04/08/2009,06/08/2009,07/08/2009,26/08/2009,34,Ordinary Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/metro 64 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/metro rlys.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum Metro Railways-09.DOC
64,2009,"The Metro Railways (Amendment) Bill, 2009",URBAN DEVELOPMENT,04/08/2009,06/08/2009,07/08/2009,26/08/2009,34,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/metro 64 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/metro rlys.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum Metro Railways-09.DOC
65,2009,"The Workmen’s Compensation (Amendment) Bill, 2009",LABOUR AND EMPLOYMENT,07/08/2009,25/11/2009,01/12/2009,22/12/2009,45,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/workmen 65 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/workmen.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda workmens compensation.doc
65,2009,"The Workmen’s Compensation (Amendment) Bill, 2009",LABOUR AND EMPLOYMENT,07/08/2009,25/11/2009,01/12/2009,22/12/2009,45,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/workmen 65 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/workmen.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda workmens compensation.doc
66,2009,"The Employees' State Insurance (Amendment) Bill, 2010",LABOUR AND EMPLOYMENT,07/08/2009,03/05/2010,06/05/2010,24/05/2010,18,Ordinary Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/ESI 66 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda ESIC.doc
66,2009,"The Employees' State Insurance (Amendment) Bill, 2010",LABOUR AND EMPLOYMENT,07/08/2009,03/05/2010,06/05/2010,24/05/2010,18,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/ESI 66 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda ESIC.doc
67,2009,"The National Commission For Minority Educational Institutions (Amendment) Bill, 2010",HUMAN RESOURCE DEVELOPMENT,07/08/2009,04/05/2010,05/08/2010,NA,20,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Minority Commission 67 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/nationl comm.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Bill.doc
67,2009,"The National Commission For Minority Educational Institutions (Amendment) Bill, 2010",HUMAN RESOURCE DEVELOPMENT,07/08/2009,04/05/2010,05/08/2010,NA,20,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Minority Commission 67 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/nationl comm.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Bill.doc
70,2009,"The Land Ports Authority of India Bill, 2010",HOME AFFAIRS,07/08/2009,06/05/2010,19/08/2010,31/08/2010,31,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Land Port 70 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/land ports.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Bill.doc
70,2009,"The Land Ports Authority of India Bill, 2010",HOME AFFAIRS,07/08/2009,06/05/2010,19/08/2010,31/08/2010,31,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Land Port 70 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/land ports.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Bill.doc
97,2009,"The Civil Defence (Amendment) Bill, 2009",HOME AFFAIRS,23/11/2009,18/12/2009,22/12/2009,21/01/2010,3,Ordinary Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Civil Def (97 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/5704rs.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Bill.doc
97,2009,"The Civil Defence (Amendment) Bill, 2009",HOME AFFAIRS,23/11/2009,18/12/2009,22/12/2009,21/01/2010,3,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Civil Def (97 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/5704rs.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Bill.doc
99,2009,"The Constitution (One Hundred and Tenth Amendment) Bill, 2009",PANCHAYATI RAJ,26/11/2009,NA,NA,NA,NA,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Cons (110amdt) 99 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr110.doc
100,2009,"The Constitution (One Hundred and Twelfth Amendment) Bill, 2009",URBAN DEVELOPMENT,24/11/2009,NA,NA,NA,NA,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Cons (112amdt) 100 of 2009.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/112.doc
101,2009,"The Central Universities (Amendment) Bill, 2009",HUMAN RESOURCE DEVELOPMENT,24/11/2009,01/12/2009,07/12/2009,22/12/2009,38,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Central Univ (101 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/central uni.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Bill.doc
101,2009,"The Central Universities (Amendment) Bill, 2009",HUMAN RESOURCE DEVELOPMENT,24/11/2009,01/12/2009,07/12/2009,22/12/2009,38,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Central Univ (101 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/central uni.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Bill.doc
102,2009,"The National Rural Employment Guarantee (Amendment) Bill, 2009",RURAL DEVELOPMENT,26/11/2009,16/12/2009,17/12/2009,31/12/2009,46,Ordinary Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/NREGA amdt (102 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/nrega.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/noerr.doc
102,2009,"The National Rural Employment Guarantee (Amendment) Bill, 2009",RURAL DEVELOPMENT,26/11/2009,16/12/2009,17/12/2009,31/12/2009,46,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/NREGA amdt (102 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/nrega.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/noerr.doc
106,2009,"The Trade Marks (Amendment) Bill, 2010.",COMMERCE AND INDUSTRY,04/12/2009,18/12/2009,10/08/2010,21/09/2010,40,Ordinary Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Trade Marks (106 of 2009).pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/106-F, Trade Marks.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda trade marks bill.doc
106,2009,"The Trade Marks (Amendment) Bill, 2010.",COMMERCE AND INDUSTRY,04/12/2009,18/12/2009,10/08/2010,21/09/2010,40,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Trade Marks (106 of 2009).pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/106-F, Trade Marks.pdf",http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda trade marks bill.doc
107,2009,"The Constitution (Ninety-seventh Amendment) Bill, 2011.",AGRICULTURE,30/11/2009,22/12/2011,28/12/2011,12/01/2012,NA,Constitutional Amendment Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Cons (111amdt) 107 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/97.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda constitution 111.doc
109,2009,"The Payment of Gratuity (Amendment) Bill, 2009.",LABOUR AND EMPLOYMENT,04/12/2009,16/12/2009,18/12/2009,31/12/2009,47,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/gratuity 109 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/payment gratuty.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda Payment of gratuity Bill, 09.doc"
109,2009,"The Payment of Gratuity (Amendment) Bill, 2009.",LABOUR AND EMPLOYMENT,04/12/2009,16/12/2009,18/12/2009,31/12/2009,47,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/gratuity 109 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/payment gratuty.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda Payment of gratuity Bill, 09.doc"
112,2009,"The Essential Commodities (Amendment and Validation) Bill, 2009.","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",04/12/2009,10/12/2009,16/12/2009,22/12/2009,36,Financial Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/essen comm 112 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/essential comod.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda essential commodities.doc
112,2009,"The Essential Commodities (Amendment and Validation) Bill, 2009.","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",04/12/2009,10/12/2009,16/12/2009,22/12/2009,36,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/essen comm 112 of 2009.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/essential comod.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda essential commodities.doc
113,2009,"The State Bank of Saurashtra (Repeal) and the State Bank of India (Subsidiaries Banks) Amendment Bill, 2009.",FINANCE,04/12/2009,14/12/2009,18/12/2009,31/12/2009,48,Ordinary Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/surashtra sbi amdt (113 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/saurastra.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/noerr.doc
113,2009,"The State Bank of Saurashtra (Repeal) and the State Bank of India (Subsidiaries Banks) Amendment Bill, 2009.",FINANCE,04/12/2009,14/12/2009,18/12/2009,31/12/2009,48,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/surashtra sbi amdt (113 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/saurastra.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/noerr.doc
114,2009,"The Jharkhand Contingency Fund (Amendment) Bill, 2009",FINANCE,07/12/2009,11/12/2009,NA,22/12/2009,37,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Jharkhand Cont Fund (114 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/114-F OF 2009 Jharkhand Cont.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/noerr.doc
114,2009,"The Jharkhand Contingency Fund (Amendment) Bill, 2009",FINANCE,07/12/2009,11/12/2009,NA,22/12/2009,37,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Jharkhand Cont Fund (114 of 2009).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/114-F OF 2009 Jharkhand Cont.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/noerr.doc
