Bill No,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Passing in Lok Sabha,Date of Passing in Rajya Sabha,Date of Assent,Act No,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
37,1990,"The Finance Bill, 1990",NA,19/03/1990,17/05/1990,22/05/1990,31/05/1990,12,Money Bill,Passed,NA,NA,NA
38,1990,"The Punjab Appropriation (Vote on Account) Bill, 1990",NA,20/03/1990,20/03/1990,NA,24/03/1990,3,Money Bill,Passed,NA,NA,NA
39,1990,"The Punjab Appropriation Bill, 1990",NA,20/03/1990,20/03/1990,NA,24/03/1990,4,Money Bill,Passed,NA,NA,NA
40,1990,"The Appropriation (Railways) No., 2 Bill, 1990",RAILWAYS,26/03/1990,26/03/1990,NA,28/03/1990,6,Money Bill,Passed,NA,NA,NA
45,1990,"The Appropriation (Vote on Account) Bill, 1990",NA,28/03/1990,28/03/1990,NA,29/03/1990,7,Money Bill,Passed,NA,NA,NA
46,1990,"The Appropriation Bill, 1990",NA,28/03/1990,28/03/1990,NA,29/03/1990,8,Money Bill,Passed,NA,NA,NA
49,1990,"The Constitution (Sixty-fifth Amendment) Bill, 1990",HOME AFFAIRS,04/04/1990,04/05/1990,NA,16/04/1990,,Ordinary Bill,Passed,NA,NA,NA
53,1990,"The Constitution (Sixty-sixth Amendment) Bill, 1990",AGRICULTURE,19/04/1990,30/05/1990,NA,06/07/1990,,Ordinary Bill,Passed,NA,NA,NA
58,1990,"The Gold (Control) Repeal Bill, 1990",NA,24/04/1990,24/05/1990,NA,06/06/1990,18,Ordinary Bill,Passed,NA,NA,NA
69,1990,"The Union Duties of Excise (Distribution) Amendment Bill, 1990",NA,04/05/1990,24/05/1990,NA,31/05/1990,13,Money Bill,Passed,NA,NA,NA
73,1990,"The Appropriation (No.2) Bill, 1990",NA,16/05/1990,16/05/1990,NA,26/05/1990,11,Money Bill,Passed,NA,NA,NA
77,1990,"The Additional Duties of Excise (Goods of Special Importance) Amendment Bill, 1990",NA,05/11/1990,24/05/1990,NA,31/05/1990,14,Money Bill,Passed,NA,NA,NA
93,1990,"The Constitution (Sixty-seventh Amendment) Bill, 1990",NA,18/05/1990,18/05/1990,NA,NA,,Ordinary Bill,NA,NA,NA,NA
94,1990,"The National Commission for Women Bill, 1990",NA,22/05/1990,08/09/1990,NA,30/08/1990,20,Ordinary Bill,Passed,NA,NA,NA
97,1990,"The Advocates (Amendment) Bill, 1990",NA,22/05/1990,NA,NA,NA,,Ordinary Bill,Passed,NA,NA,NA
98,1990,"The Constitution (Sixty-eighth Amendment) Bill, 1990",NA,23/05/1990,30/05/1990,NA,06/07/1990,,Ordinary Bill,Passed,NA,NA,NA
99,1990,"The Jute Manufacturers Development Council (Amendment) Bill, 1990",TEXTILES,28/05/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
100,1990,"The Coal India (Regulation of Transfer and Velidation) Bill, 1990",NA,30/05/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
101,1990,"The Constitution (Sixty-ninth Amendment) Bill, 1990",HOME AFFAIRS,28/05/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
102,1990,"The Citizenship (Amendment) Bill, 1990",HOME AFFAIRS,31/05/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
